Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,CEST,COTO,ADTO,UNTO,ININ,UNQU,TATO,GRTO,GRGR
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,1/5/2019,13:08,Ewallet,522.83,4.761904762,26.1415,9.1,10.67,0.9523809523809524,0.008674229467285643,0.9523809523809524,0.1821588188129985,10.67,0.04761904761904762,0.008674229467285643,0.1821588188129985
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,76.4,4.761904762,3.82,9.6,3.056,0.9523809523809524,0.05936056796310148,0.9523809523809524,1.246571927225131,3.056,0.047619047619047616,0.05936056796310148,1.246571927225131
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,3/3/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4,6.618571428571428,0.9523809523809523,0.013983988752677846,0.9523809523809523,0.2936637638062348,6.618571428571428,0.04761904761904761,0.013983988752677846,0.2936637638062348
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,1/27/2019,20:33,Ewallet,465.76,4.761904762,23.288,8.4,7.2775,0.9523809523809523,0.009737090760007198,0.9523809523809523,0.20447890596015117,7.2775,0.047619047619047616,0.009737090760007198,0.20447890596015117
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2/8/2019,10:37,Ewallet,604.17,4.761904762,30.2085,5.3,12.33,0.9523809523809522,0.007506409441681898,0.9523809523809522,0.15763459827531986,12.33,0.047619047619047616,0.007506409441681898,0.15763459827531986
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,597.73,4.761904762,29.8865,4.1,12.198571428571428,0.9523809523809524,0.007587284212572487,0.9523809523809524,0.15933296846402223,12.198571428571428,0.04761904761904762,0.007587284212572487,0.15933296846402223
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,413.04,4.761904762,20.652,5.8,11.473333333333334,0.9523809523809524,0.010979922991431707,0.9523809523809524,0.23057838282006585,11.473333333333334,0.04761904761904762,0.010979922991431707,0.23057838282006585
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,735.6,4.761904762,36.78,8.0,7.356,0.9523809523809524,0.006165235715580414,0.9523809523809524,0.1294699500271887,7.356,0.04761904761904762,0.006165235715580414,0.1294699500271887
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,1/10/2019,17:15,Credit card,72.52,4.761904762,3.626,7.2,18.13,0.9523809523809523,0.06253650568644446,0.9523809523809523,1.3132666194153337,18.13,0.047619047619047616,0.06253650568644446,1.3132666194153337
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2019,13:27,Credit card,164.52,4.761904762,8.226,5.9,18.28,0.9523809523809524,0.027565933578780406,0.9523809523809524,0.5788846051543886,18.28,0.04761904761904762,0.027565933578780406,0.5788846051543886
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2/6/2019,18:07,Ewallet,57.92,4.761904762,2.896,4.5,3.62,0.9523809523809523,0.07830019669166009,0.9523809523809523,1.644304130524862,3.62,0.047619047619047616,0.07830019669166009,1.644304130524862
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,3/9/2019,17:03,Cash,102.04,4.761904762,5.102,6.8,6.3775,0.9523809523809524,0.04444480000373337,0.9523809523809524,0.9333408000784006,6.3775,0.04761904761904762,0.04444480000373337,0.9333408000784006
